steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17325.54519570495,alpha,132,1
2,133,16839.911806079184,alpha,132,1
3,134,16472.952906105424,alpha,132,1
4,135,16195.063448626905,alpha,132,1
5,136,15990.154375600567,alpha,132,1
6,137,15837.785991301154,alpha,132,1
7,138,15719.444331472005,alpha,132,1
8,139,15619.570720519923,alpha,132,1
9,140,15526.072728732033,alpha,132,1
10,141,15430.123589176963,alpha,132,1
11,142,15325.643658007777,alpha,132,1
12,143,15208.677638834582,alpha,132,1
13,144,15076.803064505417,alpha,132,1
14,145,14928.637349417573,alpha,132,1
15,146,14763.465089881362,alpha,132,1
16,147,14580.979830216456,alpha,132,1
17,148,14381.120760049853,alpha,132,1
18,149,14163.980305567184,alpha,132,1
19,150,13929.759625983468,alpha,132,1
20,151,13678.752875218555,alpha,132,1
21,152,13411.345883060585,alpha,132,1
1,132,-4433.5847971793855,alpha,132,2
2,133,-4420.280355817744,alpha,132,2
3,134,-4180.695691251255,alpha,132,2
4,135,-4842.334670150107,alpha,132,2
5,136,-4676.138462322985,alpha,132,2
6,137,-4730.286643638847,alpha,132,2
7,138,-4946.96636735694,alpha,132,2
8,139,-5055.61966490309,alpha,132,2
9,140,-5294.676265194753,alpha,132,2
10,141,-5573.686871322341,alpha,132,2
11,142,-5859.1908592123245,alpha,132,2
12,143,-6189.725924156623,alpha,132,2
13,144,-6531.290272810468,alpha,132,2
14,145,-6881.550634240721,alpha,132,2
15,146,-7243.293123272775,alpha,132,2
16,147,-7607.307281036068,alpha,132,2
17,148,-7974.181786343739,alpha,132,2
18,149,-8343.504192518232,alpha,132,2
19,150,-8713.673432664315,alpha,132,2
20,151,-9085.341540013533,alpha,132,2
21,152,-9458.47346603751,alpha,132,2
1,132,-5070.517895615025,alpha,132,3
2,133,-2267.246472665931,alpha,132,3
3,134,-135.7517392110567,alpha,132,3
4,135,-770.9724389017947,alpha,132,3
5,136,-2459.0470963368925,alpha,132,3
6,137,-467.6008211381768,alpha,132,3
7,138,-799.8756520363013,alpha,132,3
8,139,-1549.552488377246,alpha,132,3
9,140,-1380.8878665114853,alpha,132,3
10,141,-843.0696677539663,alpha,132,3
11,142,-1382.49500754978,alpha,132,3
12,143,-1423.4721983852478,alpha,132,3
13,144,-1207.5423021230927,alpha,132,3
14,145,-1289.4186954179067,alpha,132,3
15,146,-1495.0060311722118,alpha,132,3
16,147,-1410.24389275035,alpha,132,3
17,148,-1419.3000534765888,alpha,132,3
18,149,-1535.0977884047934,alpha,132,3
19,150,-1569.3933078677528,alpha,132,3
20,151,-1560.745996253816,alpha,132,3
21,152,-1634.2632226714813,alpha,132,3
1,139,16469.618376251678,alpha,139,1
2,140,16158.63892077476,alpha,139,1
3,141,15951.468458991434,alpha,139,1
4,142,15851.08874674568,alpha,139,1
5,143,15840.298376030056,alpha,139,1
6,144,15902.115295637563,alpha,139,1
7,145,16019.46223904203,alpha,139,1
8,146,16176.937439230489,alpha,139,1
9,147,16361.429402371115,alpha,139,1
10,148,16562.263909649064,alpha,139,1
11,149,16771.04576006595,alpha,139,1
12,150,16981.347962299158,alpha,139,1
13,151,17188.351108262737,alpha,139,1
14,152,17388.496339893645,alpha,139,1
15,153,17579.185701769533,alpha,139,1
16,154,17758.54284407074,alpha,139,1
17,155,17925.233739768806,alpha,139,1
18,156,18078.339632587496,alpha,139,1
19,157,18217.271206506386,alpha,139,1
20,158,18341.71253221797,alpha,139,1
21,159,18451.584553223784,alpha,139,1
1,139,-4256.434453338528,alpha,139,2
2,140,-3057.825631419557,alpha,139,2
3,141,-3181.234052563228,alpha,139,2
4,142,-3618.4141880449297,alpha,139,2
5,143,-3243.599293286632,alpha,139,2
6,144,-3296.976619402383,alpha,139,2
7,145,-3374.1904092486184,alpha,139,2
8,146,-3362.8243267799735,alpha,139,2
9,147,-3492.9606299480183,alpha,139,2
10,148,-3637.5122654031784,alpha,139,2
11,149,-3796.3689972392203,alpha,139,2
12,150,-4002.1847245534755,alpha,139,2
13,151,-4220.713522577145,alpha,139,2
14,152,-4454.752168009503,alpha,139,2
15,153,-4705.783987834542,alpha,139,2
16,154,-4964.910279145699,alpha,139,2
