steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17891.07590060248,alpha,132,1
2,133,17845.691182813407,alpha,132,1
3,134,17828.640680061395,alpha,132,1
4,135,17824.125376840977,alpha,132,1
5,136,17833.404026748838,alpha,132,1
6,137,17855.705850004702,alpha,132,1
7,138,17890.501261573187,alpha,132,1
8,139,17937.234403138173,alpha,132,1
9,140,17995.357066245404,alpha,132,1
10,141,18064.326591770227,alpha,132,1
11,142,18143.60785201032,alpha,132,1
12,143,18232.674560797754,alpha,132,1
13,144,18331.010487525407,alpha,132,1
14,145,18438.110517251545,alpha,132,1
15,146,18553.481574029367,alpha,132,1
16,147,18676.643415364953,alpha,132,1
17,148,18807.12930646429,alpha,132,1
18,149,18944.486582493275,alpha,132,1
19,150,19088.277106775517,alpha,132,1
20,151,19238.07763253489,alpha,132,1
21,152,19393.480075473653,alpha,132,1
1,132,-2327.445304893442,alpha,132,2
2,133,-2417.0257021367593,alpha,132,2
3,134,-2049.8963206604785,alpha,132,2
4,135,-2361.059814797279,alpha,132,2
5,136,-2368.9775721782435,alpha,132,2
6,137,-2375.3233453111375,alpha,132,2
7,138,-2470.9159251259384,alpha,132,2
8,139,-2509.4072459584795,alpha,132,2
9,140,-2558.252619466442,alpha,132,2
10,141,-2616.3491175739755,alpha,132,2
11,142,-2664.5614047434733,alpha,132,2
12,143,-2715.2954503348146,alpha,132,2
13,144,-2765.9258464168665,alpha,132,2
14,145,-2814.3433083422033,alpha,132,2
15,146,-2862.490112190751,alpha,132,2
16,147,-2909.5671120860693,alpha,132,2
17,148,-2955.3750529619697,alpha,132,2
18,149,-3000.1394424860127,alpha,132,2
19,150,-3043.6516878945567,alpha,132,2
20,151,-3085.8720248717445,alpha,132,2
21,152,-3126.790933065321,alpha,132,2
1,132,-2428.3716435824463,alpha,132,3
2,133,-1140.32191850261,alpha,132,3
3,134,12.990668883066974,alpha,132,3
4,135,-120.37997943433584,alpha,132,3
5,136,-1538.7384285970911,alpha,132,3
6,137,-143.80864231072337,alpha,132,3
7,138,-411.44590803346364,alpha,132,3
8,139,-638.6131128519992,alpha,132,3
9,140,-684.3819109260294,alpha,132,3
10,141,-211.57681780055282,alpha,132,3
11,142,-567.3544084840541,alpha,132,3
12,143,-462.45204283202474,alpha,132,3
13,144,-401.1936272779785,alpha,132,3
14,145,-325.16671063537797,alpha,132,3
15,146,-443.61636677826027,alpha,132,3
16,147,-315.0241334921229,alpha,132,3
17,148,-320.06925515401963,alpha,132,3
18,149,-299.42941621060163,alpha,132,3
19,150,-304.3139285981524,alpha,132,3
20,151,-240.94256652719923,alpha,132,3
21,152,-253.08020635905996,alpha,132,3
1,139,16738.5365275705,alpha,139,1
2,140,16502.54079275643,alpha,139,1
3,141,16285.779131531008,alpha,139,1
4,142,16079.951192359362,alpha,139,1
5,143,15886.032854405406,alpha,139,1
6,144,15703.979986839384,alpha,139,1
7,145,15533.801681735045,alpha,139,1
8,146,15375.454095757023,alpha,139,1
9,147,15228.856263466609,alpha,139,1
10,148,15093.892943388626,alpha,139,1
11,149,14970.418505476951,alpha,139,1
12,150,14858.260422009642,alpha,139,1
13,151,14757.222525380832,alpha,139,1
14,152,14667.088029759721,alpha,139,1
15,153,14587.622330420545,alpha,139,1
16,154,14518.57559236336,alpha,139,1
17,155,14459.685139629728,alpha,139,1
18,156,14410.677656295784,alpha,139,1
19,157,14371.271209724744,alpha,139,1
20,158,14341.17710625998,alpha,139,1
21,159,14320.101589141745,alpha,139,1
1,139,-2793.262283626639,alpha,139,2
2,140,-2048.470326851546,alpha,139,2
3,141,-1942.7805378688408,alpha,139,2
4,142,-2244.105336530882,alpha,139,2
5,143,-2099.322113651794,alpha,139,2
6,144,-2119.516039012391,alpha,139,2
7,145,-2175.4508800588474,alpha,139,2
8,146,-2163.8242754761195,alpha,139,2
9,147,-2188.587435237902,alpha,139,2
10,148,-2214.950226523414,alpha,139,2
11,149,-2233.1099107246046,alpha,139,2
12,150,-2259.454748189419,alpha,139,2
13,151,-2286.2665940902634,alpha,139,2
14,152,-2313.154833795205,alpha,139,2
15,153,-2342.398684541966,alpha,139,2
16,154,-2372.3845411120415,alpha,139,2
17,155,-2403.1628204658764,alpha,139,2
18,156,-2434.920649913775,alpha,139,2
19,157,-2467.26656022973,alpha,139,2
20,158,-2500.1446031031205,alpha,139,2
