steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17723.45105628443,alpha,132,1
2,133,17771.36031923305,alpha,132,1
3,134,18140.891675531188,alpha,132,1
4,135,18809.16297022882,alpha,132,1
5,136,19824.17270186361,alpha,132,1
6,137,21223.660174087345,alpha,132,1
7,138,23052.928221576083,alpha,132,1
8,139,25357.563200810022,alpha,132,1
9,140,28184.227139920004,alpha,132,1
10,141,31579.679104971103,alpha,132,1
11,142,35590.50708289755,alpha,132,1
12,143,40262.768210206414,alpha,132,1
13,144,45641.71496376259,alpha,132,1
14,145,51771.54028503325,alpha,132,1
15,146,58695.154829087136,alpha,132,1
16,147,66453.99213407302,alpha,132,1
17,148,75087.8441533494,alpha,132,1
18,149,84634.72814040094,alpha,132,1
19,150,95130.78605006638,alpha,132,1
20,151,106610.21705437731,alpha,132,1
21,152,119105.24328389941,alpha,132,1
1,132,20933.586685563438,alpha,132,2
2,133,23727.536908427253,alpha,132,2
3,134,24820.328911258373,alpha,132,2
4,135,25421.120536851697,alpha,132,2
5,136,25403.98650622228,alpha,132,2
6,137,25357.79767314624,alpha,132,2
7,138,26549.52429412445,alpha,132,2
8,139,29130.23226201255,alpha,132,2
9,140,32239.169788037892,alpha,132,2
10,141,35144.57936474634,alpha,132,2
11,142,37575.33961288864,alpha,132,2
12,143,39726.68323096121,alpha,132,2
13,144,42181.80066058459,alpha,132,2
14,145,45491.81497059204,alpha,132,2
15,146,49762.42156045418,alpha,132,2
16,147,54671.073181578424,alpha,132,2
17,148,59784.14933208469,alpha,132,2
18,149,64868.48325290391,alpha,132,2
19,150,70027.46780787036,alpha,132,2
20,151,75602.91436216934,alpha,132,2
21,152,81922.61193580646,alpha,132,2
1,132,22526.494714579487,alpha,132,3
2,133,25160.249119490094,alpha,132,3
3,134,24760.017383397615,alpha,132,3
4,135,25684.167052474106,alpha,132,3
5,136,27075.39099471469,alpha,132,3
6,137,27495.227173215477,alpha,132,3
7,138,28408.294818598253,alpha,132,3
8,139,31279.703972188407,alpha,132,3
9,140,34679.154078980384,alpha,132,3
10,141,37452.32052975008,alpha,132,3
11,142,40000.473131715786,alpha,132,3
12,143,42719.50273675297,alpha,132,3
13,144,45558.09545126103,alpha,132,3
14,145,48930.12129564985,alpha,132,3
15,146,53300.41401673382,alpha,132,3
16,147,58399.99003349972,alpha,132,3
17,148,63650.755868253764,alpha,132,3
18,149,68880.82393887057,alpha,132,3
19,150,74256.08369151037,alpha,132,3
20,151,80009.36791570834,alpha,132,3
21,152,86413.8471636977,alpha,132,3
1,139,16119.247351424008,alpha,139,1
2,140,15567.121070673595,alpha,139,1
3,141,15178.92462303794,alpha,139,1
4,142,14978.58654119786,alpha,139,1
5,143,14986.841384610172,alpha,139,1
6,144,15235.646839745148,alpha,139,1
7,145,15759.490172490832,alpha,139,1
8,146,16595.169810684543,alpha,139,1
9,147,17780.656430921223,alpha,139,1
