steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,15826.47977475202,alpha,132,1
2,133,14466.269703475864,alpha,132,1
3,134,13318.827449553768,alpha,132,1
4,135,12356.790515408651,alpha,132,1
5,136,11515.334592964049,alpha,132,1
6,137,10758.119622245813,alpha,132,1
7,138,10059.525422042861,alpha,132,1
8,139,9402.918202884845,alpha,132,1
9,140,8777.605174729328,alpha,132,1
10,141,8176.996797720156,alpha,132,1
11,142,7597.267212462746,alpha,132,1
12,143,7036.428291358128,alpha,132,1
13,144,6493.686004386862,alpha,132,1
14,145,5968.997500368816,alpha,132,1
15,146,5462.768879654122,alpha,132,1
16,147,4975.651405368779,alpha,132,1
17,148,4508.406189633135,alpha,132,1
18,149,4061.816216756517,alpha,132,1
19,150,3636.63083399728,alpha,132,1
20,151,3233.532293919514,alpha,132,1
21,152,2853.1170873316805,alpha,132,1
1,132,16186.259863911197,alpha,132,2
2,133,15358.53966110479,alpha,132,2
3,134,14865.387285677716,alpha,132,2
4,135,14289.39854345657,alpha,132,2
5,136,13609.974821439013,alpha,132,2
6,137,12862.76867550239,alpha,132,2
7,138,12091.62351715099,alpha,132,2
8,139,11335.698506471701,alpha,132,2
9,140,10611.903376446106,alpha,132,2
10,141,9919.985619590618,alpha,132,2
11,142,9253.581622714177,alpha,132,2
12,143,8606.874766269699,alpha,132,2
13,144,7976.947700523306,alpha,132,2
14,145,7363.477971259039,alpha,132,2
15,146,6767.447165041696,alpha,132,2
16,147,6190.042795880698,alpha,132,2
17,148,5632.1363096321,alpha,132,2
18,149,5094.219174444675,alpha,132,2
19,150,4576.54553786153,alpha,132,2
20,151,4079.2901803166606,alpha,132,2
21,152,3602.639425197849,alpha,132,2
1,132,17963.334399714135,alpha,132,3
2,133,18964.270495980047,alpha,132,3
3,134,19533.258404367603,alpha,132,3
4,135,18724.692504196428,alpha,132,3
5,136,16707.767912948504,alpha,132,3
6,137,15084.92112570256,alpha,132,3
7,138,14269.66486788541,alpha,132,3
8,139,14179.232782014646,alpha,132,3
9,140,14208.331880874,alpha,132,3
10,141,13820.466488792561,alpha,132,3
11,142,12838.224705523811,alpha,132,3
12,143,11707.886236036196,alpha,132,3
13,144,10836.764906811528,alpha,132,3
14,145,10367.329076593742,alpha,132,3
15,146,10125.737408479676,alpha,132,3
16,147,9838.279608572833,alpha,132,3
17,148,9323.70163989719,alpha,132,3
18,149,8651.573702877387,alpha,132,3
19,150,8007.468215228524,alpha,132,3
20,151,7529.758459776174,alpha,132,3
21,152,7214.900595600251,alpha,132,3
1,139,14600.092019528136,alpha,139,1
2,140,12907.036738518855,alpha,139,1
3,141,11502.528435914493,alpha,139,1
4,142,10345.81946087491,alpha,139,1
5,143,9379.148627879376,alpha,139,1
6,144,8559.896661264436,alpha,139,1
7,145,7854.471175771807,alpha,139,1
8,146,7236.950160181337,alpha,139,1
9,147,6687.519855599934,alpha,139,1
10,148,6191.22938591057,alpha,139,1
11,149,5736.961032778961,alpha,139,1
12,150,5316.5901951298765,alpha,139,1
13,151,4924.304554780081,alpha,139,1
14,152,4556.056506101802,alpha,139,1
15,153,4209.126221778117,alpha,139,1
16,154,3881.775907108202,alpha,139,1
17,155,3572.9786703419377,alpha,139,1
18,156,3282.2080063986596,alpha,139,1
19,157,3009.276156108599,alpha,139,1
20,158,2754.2115759462195,alpha,139,1
21,159,2517.1674540129716,alpha,139,1
1,139,14921.718023139983,alpha,139,2
2,140,13588.193221872672,alpha,139,2
3,141,12632.053069720045,alpha,139,2
4,142,11776.259325377643,alpha,139,2
5,143,10953.07696985174,alpha,139,2
6,144,10154.475282562897,alpha,139,2
7,145,9384.772818850353,alpha,139,2
8,146,8648.375961993821,alpha,139,2
9,147,7946.927776644938,alpha,139,2
10,148,7280.016738054343,alpha,139,2
11,149,6646.346836795565,alpha,139,2
12,150,6044.453253172338,alpha,139,2
13,151,5473.000093280338,alpha,139,2
14,152,4930.853098586202,alpha,139,2
15,153,4417.064312598668,alpha,139,2
16,154,3930.8357135355473,alpha,139,2
17,155,3471.4857268268242,alpha,139,2
18,156,3038.4233722123317,alpha,139,2
19,157,2631.128756838385,alpha,139,2
20,158,2249.1378571239766,alpha,139,2
21,159,1892.0301240228582,alpha,139,2
1,139,17843.56127455458,alpha,139,3
2,140,17412.469359570183,alpha,139,3
3,141,18255.241397724487,alpha,139,3
4,142,16786.737146412954,alpha,139,3
5,143,14823.74979911279,alpha,139,3
6,144,13245.313145157881,alpha,139,3
7,145,12595.684513294138,alpha,139,3
8,146,11986.692504843697,alpha,139,3
9,147,11604.986192356795,alpha,139,3
10,148,10773.941587327048,alpha,139,3
11,149,9548.052334568463,alpha,139,3
12,150,8258.631503594108,alpha,139,3
13,151,7288.132167167962,alpha,139,3
14,152,6539.409168412443,alpha,139,3
15,153,5938.136259168852,alpha,139,3
16,154,5282.08638075646,alpha,139,3
17,155,4486.142638104036,alpha,139,3
18,156,3611.6451445324346,alpha,139,3
19,157,2816.601080682827,alpha,139,3
20,158,2154.8925323970616,alpha,139,3
21,159,1608.5500115249306,alpha,139,3
1,146,18662.99996504916,alpha,146,1
2,147,16894.074923057502,alpha,146,1
3,148,15300.460332996347,alpha,146,1
4,149,13885.33541214844,alpha,146,1
5,150,12615.927947603339,alpha,146,1
6,151,11467.488115368313,alpha,146,1
7,152,10418.971362936307,alpha,146,1
8,153,9452.853460615072,alpha,146,1
9,154,8554.641990876682,alpha,146,1
10,155,7712.46043465579,alpha,146,1
11,156,6916.672290778139,alpha,146,1
12,157,6159.546291050128,alpha,146,1
13,158,5434.960248372097,alpha,146,1
14,159,4738.140932487444,alpha,146,1
15,160,4065.437125160719,alpha,146,1
16,161,3414.1229162498166,alpha,146,1
17,162,2782.228308066471,alpha,146,1
18,163,2168.3942738710866,alpha,146,1
19,164,1571.7495462510706,alpha,146,1
20,165,991.8065757702243,alpha,146,1
21,166,428.37428641573206,alpha,146,1
1,146,19544.75615319796,alpha,146,2
2,147,18212.695646142587,alpha,146,2
3,148,17008.985637085512,alpha,146,2
4,149,15923.51693020016,alpha,146,2
5,150,14855.254608921707,alpha,146,2
6,151,13782.44821213372,alpha,146,2
7,152,12714.79467232246,alpha,146,2
8,153,11662.849704662338,alpha,146,2
9,154,10630.489145915955,alpha,146,2
10,155,9617.946145841852,alpha,146,2
11,156,8624.791155730374,alpha,146,2
12,157,7650.85017333366,alpha,146,2
13,158,6696.13346219901,alpha,146,2
14,159,5760.671318590175,alpha,146,2
15,160,4844.476393629331,alpha,146,2
16,161,3947.570371164009,alpha,146,2
17,162,3070.0091931517236,alpha,146,2
18,163,2211.8911558429245,alpha,146,2
19,164,1373.354937201133,alpha,146,2
20,165,554.5748558824416,alpha,146,2
21,166,-244.24394924228545,alpha,146,2
1,146,20281.73228744231,alpha,146,3
2,147,20537.55971396342,alpha,146,3
3,148,20505.26542071998,alpha,146,3
4,149,19764.472695179284,alpha,146,3
5,150,17350.892368014902,alpha,146,3
6,151,16179.804466337897,alpha,146,3
7,152,15208.449922612868,alpha,146,3
8,153,14301.920482264832,alpha,146,3
9,154,13372.274543923326,alpha,146,3
10,155,12244.948344526812,alpha,146,3
11,156,10587.180028077215,alpha,146,3
12,157,8973.332073221914,alpha,146,3
13,158,7536.434944091365,alpha,146,3
14,159,6217.3459261721,alpha,146,3
15,160,4930.614491171204,alpha,146,3
16,161,3600.620885748416,alpha,146,3
17,162,2117.927672414109,alpha,146,3
18,163,573.1784346117638,alpha,146,3
19,164,-925.2030474983621,alpha,146,3
20,165,-2345.144151946879,alpha,146,3
21,166,-3711.7577878297598,alpha,146,3
1,153,29207.921666570437,alpha,153,1
2,154,28800.336073490842,alpha,153,1
3,155,28446.96374517414,alpha,153,1
4,156,28149.31846182117,alpha,153,1
5,157,27893.501948624988,alpha,153,1
6,158,27668.830332392055,alpha,153,1
7,159,27466.41618426286,alpha,153,1
8,160,27278.939233157478,alpha,153,1
9,161,27100.395166970164,alpha,153,1
10,162,26925.88469384558,alpha,153,1
