steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,18257.478633375376,alpha,132,1
2,133,18553.68884708815,alpha,132,1
3,134,18812.084029432295,alpha,132,1
4,135,19044.87296624817,alpha,132,1
5,136,19265.031832360484,alpha,132,1
6,137,19479.677300136045,alpha,132,1
7,138,19692.995530416632,alpha,132,1
8,139,19907.33218213157,alpha,132,1
9,140,20123.927307388753,alpha,132,1
10,141,20343.35331048545,alpha,132,1
11,142,20565.780949271197,alpha,132,1
12,143,20791.14019085348,alpha,132,1
13,144,21019.217559162204,alpha,132,1
14,145,21249.715170888736,alpha,132,1
15,146,21482.286744743637,alpha,132,1
16,147,21716.559819679038,alpha,132,1
17,148,21952.14973947402,alpha,132,1
18,149,22188.668728418088,alpha,132,1
19,150,22425.732031904554,alpha,132,1
20,151,22662.962281987173,alpha,132,1
21,152,22899.992760932262,alpha,132,1
1,132,17813.726134078846,alpha,132,2
2,133,18579.476323719307,alpha,132,2
3,134,19146.14993595119,alpha,132,2
4,135,19619.656640361885,alpha,132,2
5,136,20144.713131656677,alpha,132,2
6,137,20728.926008514565,alpha,132,2
7,138,21332.397780537583,alpha,132,2
8,139,21949.082172086615,alpha,132,2
9,140,22587.75276776305,alpha,132,2
10,141,23248.870522145015,alpha,132,2
11,142,23929.033027194833,alpha,132,2
12,143,24625.630237871177,alpha,132,2
13,144,25335.981684569604,alpha,132,2
14,145,26056.691255474645,alpha,132,2
15,146,26784.03672322177,alpha,132,2
16,147,27514.28489488464,alpha,132,2
17,148,28243.796672282308,alpha,132,2
18,149,28969.110775604855,alpha,132,2
19,150,29687.027953909397,alpha,132,2
20,151,30394.667929257466,alpha,132,2
21,152,31089.499871164186,alpha,132,2
1,132,15645.130382971442,alpha,132,3
2,133,16931.382650734533,alpha,132,3
3,134,18155.080267542708,alpha,132,3
4,135,19387.569404655806,alpha,132,3
5,136,19635.232584854177,alpha,132,3
6,137,19995.677237116204,alpha,132,3
7,138,20308.87014076046,alpha,132,3
8,139,20814.701126952325,alpha,132,3
9,140,21316.5661825764,alpha,132,3
10,141,21862.39360674567,alpha,132,3
11,142,22420.13367651283,alpha,132,3
12,143,23031.347389986637,alpha,132,3
13,144,23690.988504229223,alpha,132,3
14,145,24395.323304145073,alpha,132,3
15,146,25126.96930776317,alpha,132,3
16,147,25876.74960708846,alpha,132,3
17,148,26637.45731198284,alpha,132,3
18,149,27404.25118442109,alpha,132,3
19,150,28171.20985998274,alpha,132,3
20,151,28932.609867341445,alpha,132,3
21,152,29683.322443702393,alpha,132,3
1,139,17147.061754866136,alpha,139,1
2,140,17219.44794494482,alpha,139,1
3,141,17255.334973171088,alpha,139,1
4,142,17258.414649060695,alpha,139,1
5,143,17239.55672644308,alpha,139,1
6,144,17206.02046249194,alpha,139,1
7,145,17163.084629103472,alpha,139,1
8,146,17114.461918044755,alpha,139,1
9,147,17062.70208824899,alpha,139,1
10,148,17009.498537252926,alpha,139,1
11,149,16955.92413977741,alpha,139,1
12,150,16902.609953636656,alpha,139,1
13,151,16849.878966690572,alpha,139,1
14,152,16797.844862430036,alpha,139,1
15,153,16746.483906303583,alpha,139,1
16,154,16695.686431945913,alpha,139,1
17,155,16645.293040022396,alpha,139,1
18,156,16595.11949312977,alpha,139,1
19,157,16544.973372103406,alpha,139,1
20,158,16494.664823458505,alpha,139,1
21,159,16444.013146097277,alpha,139,1
1,139,16752.250915210385,alpha,139,2
2,140,16412.3764897531,alpha,139,2
3,141,16043.325592201294,alpha,139,2
4,142,15837.62473977085,alpha,139,2
5,143,15725.22095932882,alpha,139,2
6,144,15645.99410096143,alpha,139,2
7,145,15602.791346166548,alpha,139,2
8,146,15597.121029839023,alpha,139,2
9,147,15620.286139660038,alpha,139,2
10,148,15665.888394264774,alpha,139,2
11,149,15730.209088051437,alpha,139,2
12,150,15809.517154000452,alpha,139,2
13,151,15899.978635925629,alpha,139,2
14,152,15998.075745364542,alpha,139,2
15,153,16100.592823592951,alpha,139,2
16,154,16204.559445189052,alpha,139,2
17,155,16307.276525623041,alpha,139,2
18,156,16406.344204952904,alpha,139,2
19,157,16499.669724382667,alpha,139,2
20,158,16585.467603013734,alpha,139,2
21,159,16662.254851574267,alpha,139,2
1,139,18407.851736535886,alpha,139,3
2,140,18987.22983203582,alpha,139,3
3,141,18836.901034141916,alpha,139,3
4,142,18809.88913439351,alpha,139,3
5,143,18983.771088085072,alpha,139,3
6,144,19346.64981343231,alpha,139,3
7,145,19653.249671708567,alpha,139,3
8,146,19885.29101128979,alpha,139,3
9,147,20102.965605425823,alpha,139,3
10,148,20372.975742687235,alpha,139,3
11,149,20691.778919197506,alpha,139,3
12,150,21034.61020874064,alpha,139,3
13,151,21387.003500638035,alpha,139,3
14,152,21750.682034932386,alpha,139,3
15,153,22126.853662952984,alpha,139,3
16,154,22509.83135084939,alpha,139,3
17,155,22890.68510456067,alpha,139,3
18,156,23262.74928941341,alpha,139,3
19,157,23622.390950600045,alpha,139,3
20,158,23967.087149523722,alpha,139,3
21,159,24294.18587543306,alpha,139,3
1,146,21313.773299929806,alpha,146,1
2,147,21841.23041085012,alpha,146,1
3,148,22400.165246189063,alpha,146,1
4,149,23002.509155116823,alpha,146,1
5,150,23639.497632794522,alpha,146,1
6,151,24305.941918728815,alpha,146,1
7,152,24997.513850421146,alpha,146,1
8,153,25710.687415062068,alpha,146,1
9,154,26442.522010290915,alpha,146,1
10,155,27190.5162914955,alpha,146,1
11,156,27952.498744383065,alpha,146,1
12,157,28726.547748354107,alpha,146,1
13,158,29510.933744189817,alpha,146,1
14,159,30304.077916755698,alpha,146,1
15,160,31104.523066196663,alpha,146,1
16,161,31910.913357489226,alpha,146,1
17,162,32721.980437288163,alpha,146,1
18,163,33536.53403214359,alpha,146,1
19,164,34353.45562767375,alpha,146,1
20,165,35171.69420252825,alpha,146,1
21,166,35990.263277113874,alpha,146,1
1,146,22292.46291838947,alpha,146,2
2,147,22617.279404468518,alpha,146,2
3,148,23029.948154566777,alpha,146,2
4,149,23593.477786821255,alpha,146,2
5,150,24162.203819727176,alpha,146,2
6,151,24722.30046071709,alpha,146,2
7,152,25302.492298361947,alpha,146,2
8,153,25906.92044194319,alpha,146,2
9,154,26531.24359486682,alpha,146,2
10,155,27174.35157799092,alpha,146,2
11,156,27835.941492933227,alpha,146,2
12,157,28514.841491767576,alpha,146,2
13,158,29209.482893401953,alpha,146,2
14,159,29918.256079583003,alpha,146,2
15,160,30639.52105315784,alpha,146,2
16,161,31371.606921621405,alpha,146,2
17,162,32112.849333223872,alpha,146,2
18,163,32861.62252845033,alpha,146,2
19,164,33616.358398568205,alpha,146,2
20,165,34375.55964845542,alpha,146,2
21,166,35137.80986807876,alpha,146,2
1,146,23759.399557544566,alpha,146,3
2,147,24899.742474253788,alpha,146,3
3,148,25047.599132914467,alpha,146,3
4,149,24915.967669199905,alpha,146,3
5,150,25510.50422045704,alpha,146,3
6,151,26312.447628901526,alpha,146,3
7,152,27096.355959576293,alpha,146,3
8,153,27716.024490174907,alpha,146,3
9,154,28376.025719954865,alpha,146,3
10,155,29134.623173258733,alpha,146,3
11,156,29976.463259856042,alpha,146,3
12,157,30823.330071969165,alpha,146,3
13,158,31662.80760847038,alpha,146,3
14,159,32510.110020046493,alpha,146,3
15,160,33382.332430819326,alpha,146,3
16,161,34273.25934978289,alpha,146,3
17,162,35171.853003677505,alpha,146,3
18,163,36072.50400316426,alpha,146,3
19,164,36976.80931601587,alpha,146,3
20,165,37886.06497827021,alpha,146,3
21,166,38798.760367561605,alpha,146,3
1,153,31566.529079038402,alpha,153,1
2,154,33091.57403434861,alpha,153,1
3,155,34646.40631191676,alpha,153,1
4,156,36238.760624797294,alpha,153,1
5,157,37866.28548194162,alpha,153,1
6,158,39526.62961209602,alpha,153,1
7,159,41217.645506672416,alpha,153,1
8,160,42937.3982633149,alpha,153,1
9,161,44684.133694730685,alpha,153,1
10,162,46456.249179517894,alpha,153,1
11,163,48252.26820956907,alpha,153,1
12,164,50070.81888918414,alpha,153,1
13,165,51910.616201710436,alpha,153,1
14,166,53770.44771380493,alpha,153,1
15,167,55649.16231557252,alpha,153,1
16,168,57545.66157302787,alpha,153,1
17,169,59458.89327882348,alpha,153,1
18,170,61387.84681540387,alpha,153,1
19,171,63331.54998299735,alpha,153,1
20,172,65289.06698729271,alpha,153,1
21,173,67259.49732446016,alpha,153,1
1,153,30518.26446041902,alpha,153,2
2,154,29110.62175456675,alpha,153,2
3,155,28603.029014873297,alpha,153,2
4,156,28419.320835446582,alpha,153,2
5,157,28031.233997515876,alpha,153,2
6,158,27575.94990248095,alpha,153,2
7,159,27132.321151495336,alpha,153,2
8,160,26662.22138384363,alpha,153,2
9,161,26154.890957606724,alpha,153,2
10,162,25622.673083445952,alpha,153,2
11,163,25072.806065239827,alpha,153,2
12,164,24510.10580216329,alpha,153,2
13,165,23941.21235914771,alpha,153,2
14,166,23373.10765529298,alpha,153,2
15,167,22812.089589038973,alpha,153,2
16,168,22263.86838601035,alpha,153,2
17,169,21733.549940514316,alpha,153,2
18,170,21225.499158725295,alpha,153,2
19,171,20743.295271025163,alpha,153,2
20,172,20289.743855830508,alpha,153,2
21,173,19866.900352385226,alpha,153,2
1,153,32968.93499570428,alpha,153,3
2,154,33293.125753862216,alpha,153,3
3,155,31019.133220328218,alpha,153,3
4,156,30459.89103862125,alpha,153,3
5,157,30804.504774298075,alpha,153,3
6,158,31378.383702217863,alpha,153,3
7,159,31359.551774071027,alpha,153,3
8,160,31098.441131515163,alpha,153,3
9,161,30917.323148205935,alpha,153,3
10,162,30868.20943884858,alpha,153,3
11,163,30776.09679752513,alpha,153,3
12,164,30558.88298552135,alpha,153,3
13,165,30265.255802224252,alpha,153,3
14,166,29968.196143706577,alpha,153,3
15,167,29688.349275459168,alpha,153,3
16,168,29411.622614643427,alpha,153,3
17,169,29132.728607247045,alpha,153,3
18,170,28864.30352417741,alpha,153,3
19,171,28621.749001833778,alpha,153,3
20,172,28411.489132674506,alpha,153,3
21,173,28233.523721565154,alpha,153,3
1,160,44456.84502985809,alpha,160,1
2,161,46483.448812315895,alpha,160,1
3,162,48587.376773751595,alpha,160,1
4,163,50693.145164002635,alpha,160,1
5,164,52834.02201152933,alpha,160,1
6,165,55011.79058796115,alpha,160,1
7,166,57227.79573761201,alpha,160,1
8,167,59481.765923201776,alpha,160,1
9,168,61773.0934701083,alpha,160,1
10,169,64101.015002369066,alpha,160,1
11,170,66464.71232312558,alpha,160,1
12,171,68863.3449387167,alpha,160,1
13,172,71296.06518124763,alpha,160,1
14,173,73762.02589298265,alpha,160,1
15,174,76260.38520406412,alpha,160,1
16,175,78790.30994014276,alpha,160,1
17,176,81350.97833566394,alpha,160,1
18,177,83941.58237546246,alpha,160,1
19,178,86561.32993899478,alpha,160,1
20,179,89209.44684489288,alpha,160,1
21,180,91885.17884844319,alpha,160,1
1,160,42054.27461719021,alpha,160,2
2,161,43367.658134930745,alpha,160,2
3,162,43871.92139840233,alpha,160,2
4,163,44176.07250038311,alpha,160,2
5,164,44541.5209739094,alpha,160,2
6,165,44775.73751234197,alpha,160,2
7,166,44833.63918520975,alpha,160,2
8,167,44752.406439502854,alpha,160,2
9,168,44531.115965782876,alpha,160,2
10,169,44160.508519878604,alpha,160,2
11,170,43642.76312622548,alpha,160,2
12,171,42981.999972556136,alpha,160,2
13,172,42181.424106821134,alpha,160,2
14,173,41245.38151044589,alpha,160,2
15,174,40179.33036888929,alpha,160,2
16,175,38989.239573626764,alpha,160,2
17,176,37681.5485769291,alpha,160,2
18,177,36263.17273129232,alpha,160,2
19,178,34741.41132127995,alpha,160,2
20,179,33123.88395923485,alpha,160,2
21,180,31418.496460746417,alpha,160,2
1,160,47345.35698704168,alpha,160,3
2,161,45129.58200944387,alpha,160,3
3,162,45624.748845641436,alpha,160,3
4,163,46130.018773305,alpha,160,3
5,164,47226.47417712289,alpha,160,3
6,165,47233.30389348423,alpha,160,3
7,166,47321.915257912326,alpha,160,3
8,167,47346.03873751976,alpha,160,3
9,168,47330.47715524784,alpha,160,3
10,169,47032.22154231855,alpha,160,3
11,170,46569.38043308653,alpha,160,3
12,171,45949.38301371536,alpha,160,3
13,172,45193.70069486802,alpha,160,3
14,173,44284.827311816145,alpha,160,3
15,174,43243.59200268964,alpha,160,3
