steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,18130.042555003438,alpha,132,1
2,133,18284.673564179193,alpha,132,1
3,134,18471.735169067695,alpha,132,1
4,135,18668.649274265947,alpha,132,1
5,136,18877.322963468458,alpha,132,1
6,137,19096.58711778674,alpha,132,1
7,138,19325.68368782928,alpha,132,1
8,139,19563.82555200714,alpha,132,1
9,140,19810.25304105589,alpha,132,1
10,141,20064.227536617018,alpha,132,1
11,142,20325.032929812496,alpha,132,1
12,143,20591.97599008653,alpha,132,1
13,144,20864.3867802607,alpha,132,1
14,145,21141.61897803025,alpha,132,1
15,146,21423.05012548831,alpha,132,1
16,147,21708.08180784085,alpha,132,1
17,148,21996.139765036125,alpha,132,1
18,149,22286.67393967801,alpha,132,1
19,150,22579.158464599474,alpha,132,1
20,151,22873.091593426703,alpha,132,1
21,152,23167.99557741869,alpha,132,1
1,132,18813.781745989534,alpha,132,2
2,133,19066.68837153222,alpha,132,2
3,134,19164.996657037773,alpha,132,2
4,135,19423.329712137995,alpha,132,2
5,136,19697.277021248075,alpha,132,2
6,137,19960.20961052856,alpha,132,2
7,138,20238.12357600125,alpha,132,2
8,139,20529.525917581028,alpha,132,2
9,140,20829.29384362227,alpha,132,2
10,141,21137.294944517762,alpha,132,2
11,142,21453.1596452569,alpha,132,2
12,143,21775.805475466004,alpha,132,2
13,144,22104.344644758232,alpha,132,2
14,145,22438.006522805117,alpha,132,2
15,146,22776.008183602495,alpha,132,2
16,147,23117.58924453306,alpha,132,2
17,148,23462.02696480926,alpha,132,2
18,149,23808.628600234777,alpha,132,2
19,150,24156.730605096345,alpha,132,2
20,151,24505.700151849553,alpha,132,2
21,152,24854.93506570111,alpha,132,2
1,132,19679.41609265023,alpha,132,3
2,133,20929.47338759274,alpha,132,3
3,134,20950.469221461473,alpha,132,3
4,135,20592.26474961212,alpha,132,3
5,136,20727.83839625698,alpha,132,3
6,137,21208.086480282574,alpha,132,3
7,138,21651.007205454025,alpha,132,3
8,139,21917.09387518117,alpha,132,3
9,140,22145.527405083183,alpha,132,3
10,141,22441.85220429713,alpha,132,3
11,142,22795.563188207332,alpha,132,3
12,143,23148.349652692275,alpha,132,3
13,144,23482.507701456816,alpha,132,3
14,145,23814.30744397945,alpha,132,3
15,146,24158.80520581742,alpha,132,3
