steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17311.42268396234,alpha,132,1
2,133,16966.408446993675,alpha,132,1
3,134,16706.252684711337,alpha,132,1
4,135,16486.64516227303,alpha,132,1
5,136,16286.360189351144,alpha,132,1
6,137,16094.589916171066,alpha,132,1
7,138,15905.501591027676,alpha,132,1
8,139,15715.785429277137,alpha,132,1
9,140,15523.513759997732,alpha,132,1
10,141,15327.577263354731,alpha,132,1
11,142,15127.385331671245,alpha,132,1
12,143,14922.69297764125,alpha,132,1
13,144,14713.49248946954,alpha,132,1
14,145,14499.940879809923,alpha,132,1
15,146,14282.308800122784,alpha,132,1
16,147,14060.943319580725,alpha,132,1
17,148,13836.240217274983,alpha,132,1
18,149,13608.623106150488,alpha,132,1
19,150,13378.527627837533,alpha,132,1
20,151,13146.389502470123,alpha,132,1
21,152,12912.635560881077,alpha,132,1
1,132,18891.163962610357,alpha,132,2
2,133,19152.76936211891,alpha,132,2
3,134,19204.4762734947,alpha,132,2
4,135,19440.21523614859,alpha,132,2
5,136,19746.91712624146,alpha,132,2
6,137,20045.610307087678,alpha,132,2
7,138,20353.131243975953,alpha,132,2
8,139,20679.45825859914,alpha,132,2
9,140,21016.13334794113,alpha,132,2
10,141,21358.382053604073,alpha,132,2
11,142,21705.042144282168,alpha,132,2
12,143,22054.30958900191,alpha,132,2
13,144,22403.972489430755,alpha,132,2
14,145,22752.202371607014,alpha,132,2
15,146,23097.50408418053,alpha,132,2
16,147,23438.587243831786,alpha,132,2
17,148,23774.398103856045,alpha,132,2
18,149,24104.14580862784,alpha,132,2
19,150,24427.28672090725,alpha,132,2
20,151,24743.50260997213,alpha,132,2
21,152,25052.67958725893,alpha,132,2
1,132,18598.517873831734,alpha,132,3
2,133,19922.570063016057,alpha,132,3
3,134,20058.615137596036,alpha,132,3
4,135,19956.601893109124,alpha,132,3
5,136,19979.423872234496,alpha,132,3
6,137,20422.828502838624,alpha,132,3
7,138,20846.657674352995,alpha,132,3
8,139,21198.88365613961,alpha,132,3
9,140,21489.795025406056,alpha,132,3
10,141,21827.146524627,alpha,132,3
11,142,22188.73456209359,alpha,132,3
12,143,22556.28957821818,alpha,132,3
13,144,22906.014038143803,alpha,132,3
14,145,23251.989223550783,alpha,132,3
15,146,23599.951744794973,alpha,132,3
16,147,23951.971291253714,alpha,132,3
17,148,24300.49532604609,alpha,132,3
18,149,24642.01268036916,alpha,132,3
19,150,24974.309937025588,alpha,132,3
20,151,25297.164312967543,alpha,132,3
21,152,25609.362833470266,alpha,132,3
1,139,16138.443879126831,alpha,139,1
2,140,15505.465270804518,alpha,139,1
3,141,14951.91675452245,alpha,139,1
4,142,14453.539713525784,alpha,139,1
5,143,13993.603740924467,alpha,139,1
6,144,13561.267658340625,alpha,139,1
7,145,13148.87430262582,alpha,139,1
8,146,12750.833166633229,alpha,139,1
9,147,12362.958650214945,alpha,139,1
10,148,11982.082761585276,alpha,139,1
11,149,11605.80399112581,alpha,139,1
12,150,11232.313170485671,alpha,139,1
13,151,10860.265547635205,alpha,139,1
14,152,10488.683106001467,alpha,139,1
15,153,10116.878128856706,alpha,139,1
16,154,9744.39252973867,alpha,139,1
17,155,9370.949319454534,alpha,139,1
18,156,8996.413627470287,alpha,139,1
19,157,8620.761340718422,alpha,139,1
20,158,8244.053856135715,alpha,139,1
21,159,7866.4177559531745,alpha,139,1
1,139,16827.845350362793,alpha,139,2
2,140,16454.616670436666,alpha,139,2
3,141,16010.215478320264,alpha,139,2
4,142,15680.616146234419,alpha,139,2
5,143,15422.8905153622,alpha,139,2
6,144,15186.498839311758,alpha,139,2
7,145,14972.661632850035,alpha,139,2
8,146,14783.792962521631,alpha,139,2
9,147,14614.363481859124,alpha,139,2
10,148,14459.963636096558,alpha,139,2
11,149,14318.209705304951,alpha,139,2
12,150,14186.90553154908,alpha,139,2
13,151,14063.80104222194,alpha,139,2
14,152,13946.889603898435,alpha,139,2
15,153,13834.414487282831,alpha,139,2
16,154,13724.801499870991,alpha,139,2
17,155,13616.655595975242,alpha,139,2
18,156,13508.770108932677,alpha,139,2
19,157,13400.12227155034,alpha,139,2
20,158,13289.864224393601,alpha,139,2
21,159,13177.31391756626,alpha,139,2
1,139,19724.37214779931,alpha,139,3
2,140,19642.445575622165,alpha,139,3
3,141,18624.608320007777,alpha,139,3
4,142,17250.686773775546,alpha,139,3
5,143,17051.94849865675,alpha,139,3
6,144,17188.829810413823,alpha,139,3
7,145,17275.723053510104,alpha,139,3
8,146,17056.95668699667,alpha,139,3
9,147,16849.019174600988,alpha,139,3
10,148,16734.68288391737,alpha,139,3
11,149,16698.03430876061,alpha,139,3
12,150,16635.699800560753,alpha,139,3
13,151,16546.61523404535,alpha,139,3
14,152,16455.00156737862,alpha,139,3
15,153,16383.011528412473,alpha,139,3
16,154,16318.594427398592,alpha,139,3
17,155,16249.326059937572,alpha,139,3
18,156,16170.710311120118,alpha,139,3
19,157,16086.79882106987,alpha,139,3
20,158,15998.839936172502,alpha,139,3
21,159,15905.016267799696,alpha,139,3
1,146,20725.328199864063,alpha,146,1
2,147,20758.031253540674,alpha,146,1
3,148,20774.7795613409,alpha,146,1
4,149,20823.684191939945,alpha,146,1
5,150,20892.703340675467,alpha,146,1
6,151,20979.923355433577,alpha,146,1
7,152,21082.952786132584,alpha,146,1
8,153,21199.950737480398,alpha,146,1
9,154,21329.29138167877,alpha,146,1
10,155,21469.520981356407,alpha,146,1
11,156,21619.320867887378,alpha,146,1
12,157,21777.48936081877,alpha,146,1
13,158,21942.92928498429,alpha,146,1
14,159,22114.638044856627,alpha,146,1
15,160,22291.69875410143,alpha,146,1
16,161,22473.27196801504,alpha,146,1
17,162,22658.587926380693,alpha,146,1
18,163,22846.939339350036,alpha,146,1
19,164,23037.674769804624,alpha,146,1
20,165,23230.192649926343,alpha,146,1
21,166,23423.93594474837,alpha,146,1
1,146,22037.68966839912,alpha,146,2
2,147,22073.36492048969,alpha,146,2
3,148,22385.56926401375,alpha,146,2
4,149,22831.480135719212,alpha,146,2
5,150,23219.252272212743,alpha,146,2
6,151,23578.418793412133,alpha,146,2
7,152,23952.565348569056,alpha,146,2
8,153,24334.00514225089,alpha,146,2
9,154,24715.268719157873,alpha,146,2
10,155,25098.48123606699,alpha,146,2
11,156,25484.835549742675,alpha,146,2
12,157,25873.610729290333,alpha,146,2
13,158,26264.317160658527,alpha,146,2
14,159,26656.83508231338,alpha,146,2
15,160,27050.998453951182,alpha,146,2
16,161,27446.59459565609,alpha,146,2
17,162,27843.444024496443,alpha,146,2
18,163,28241.39067585967,alpha,146,2
19,164,28640.28069752093,alpha,146,2
20,165,29039.95976866783,alpha,146,2
21,166,29440.272483267083,alpha,146,2
1,146,22588.097064319027,alpha,146,3
2,147,24220.30503818601,alpha,146,3
3,148,23929.864532742118,alpha,146,3
4,149,23860.02763732244,alpha,146,3
5,150,24085.069134372723,alpha,146,3
6,151,24667.704323650945,alpha,146,3
7,152,25062.196199217542,alpha,146,3
8,153,25319.327433964612,alpha,146,3
9,154,25551.19599617376,alpha,146,3
10,155,25869.505102433035,alpha,146,3
11,156,26224.354443215914,alpha,146,3
12,157,26566.721421608985,alpha,146,3
13,158,26884.406466988334,alpha,146,3
14,159,27201.40808416483,alpha,146,3
15,160,27529.032088079475,alpha,146,3
16,161,27862.538575905826,alpha,146,3
17,162,28193.204799882667,alpha,146,3
18,163,28520.082714853415,alpha,146,3
19,164,28846.641963610717,alpha,146,3
20,165,29175.194102255107,alpha,146,3
21,166,29505.158410523632,alpha,146,3
1,153,30956.026201004024,alpha,153,1
2,154,32167.347834602526,alpha,153,1
3,155,33285.872613231004,alpha,153,1
4,156,34390.22412238482,alpha,153,1
5,157,35489.36026930425,alpha,153,1
6,158,36590.96752693363,alpha,153,1
7,159,37698.01032219332,alpha,153,1
8,160,38811.59537728166,alpha,153,1
9,161,39931.85798932305,alpha,153,1
10,162,41058.47439917456,alpha,153,1
11,163,42190.9094548316,alpha,153,1
12,164,43328.54016026191,alpha,153,1
13,165,44470.715908916405,alpha,153,1
14,166,45616.78735098327,alpha,153,1
15,167,46766.11982595794,alpha,153,1
16,168,47918.09935893966,alpha,153,1
17,169,49072.13519248468,alpha,153,1
18,170,50227.66080090411,alpha,153,1
19,171,51384.134318680575,alpha,153,1
20,172,52541.03880966168,alpha,153,1
21,173,53697.8825555574,alpha,153,1
1,153,31741.214416769442,alpha,153,2
2,154,32089.331177462398,alpha,153,2
3,155,32875.56833203622,alpha,153,2
4,156,33903.23373499279,alpha,153,2
5,157,34817.202681999595,alpha,153,2
6,158,35611.86783501761,alpha,153,2
7,159,36376.13996615384,alpha,153,2
8,160,37103.82636519492,alpha,153,2
9,161,37775.1161272581,alpha,153,2
10,162,38391.91301948442,alpha,153,2
11,163,38960.729909359055,alpha,153,2
