steps,forecast_index,predicted_mean,strain,train_idx,hyp
1,132,17503.421731061753,alpha,132,1
2,133,17090.958951978067,alpha,132,1
3,134,16694.651916309547,alpha,132,1
4,135,16302.188119276823,alpha,132,1
5,136,15916.100873194378,alpha,132,1
6,137,15536.71923693917,alpha,132,1
7,138,15164.565883212868,alpha,132,1
8,139,14800.036523796187,alpha,132,1
9,140,14443.457314945425,alpha,132,1
10,141,14095.087943473229,alpha,132,1
11,142,13755.130959113232,alpha,132,1
12,143,13423.739053886775,alpha,132,1
13,144,13101.021589021555,alpha,132,1
14,145,12787.050312188541,alpha,132,1
15,146,12481.864382610003,alpha,132,1
16,147,12185.474784085582,alpha,132,1
17,148,11897.868199693976,alpha,132,1
18,149,11619.010412655283,alpha,132,1
19,150,11348.84929019566,alpha,132,1
20,151,11087.317400452848,alpha,132,1
21,152,10834.334306480745,alpha,132,1
1,132,18125.22940031228,alpha,132,2
2,133,17817.106202472623,alpha,132,2
3,134,17406.37131813307,alpha,132,2
4,135,17097.942284397832,alpha,132,2
5,136,16804.138683356086,alpha,132,2
6,137,16506.742474222476,alpha,132,2
7,138,16220.21605468103,alpha,132,2
8,139,15945.920440993217,alpha,132,2
9,140,15681.982251629015,alpha,132,2
10,141,15428.56506876988,alpha,132,2
11,142,15185.979613869,alpha,132,2
12,143,14954.172052155916,alpha,132,2
13,144,14733.048985133855,alpha,132,2
14,145,14522.523840443228,alpha,132,2
15,146,14322.476016506622,alpha,132,2
16,147,14132.75608734439,alpha,132,2
17,148,13953.19703874244,alpha,132,2
18,149,13783.617593457471,alpha,132,2
19,150,13623.824722854417,alpha,132,2
20,151,13473.616637466273,alpha,132,2
21,152,13332.785250339039,alpha,132,2
1,132,18717.3781723516,alpha,132,3
2,133,19181.232668574237,alpha,132,3
3,134,18526.736097061712,alpha,132,3
4,135,17722.102623708004,alpha,132,3
5,136,17298.583847457547,alpha,132,3
6,137,17143.83746612944,alpha,132,3
7,138,16914.301753357646,alpha,132,3
8,139,16565.080265877485,alpha,132,3
9,140,16206.677448759869,alpha,132,3
10,141,15918.418394575685,alpha,132,3
11,142,15673.508144008556,alpha,132,3
12,143,15432.003306463395,alpha,132,3
13,144,15186.348844421595,alpha,132,3
14,145,14953.29760410138,alpha,132,3
15,146,14741.248258458658,alpha,132,3
16,147,14546.642183879088,alpha,132,3
17,148,14363.51439050874,alpha,132,3
18,149,14191.049908124685,alpha,132,3
19,150,14031.013024458702,alpha,132,3
20,151,13884.20716973682,alpha,132,3
21,152,13749.713612469488,alpha,132,3
1,139,16442.213752893364,alpha,139,1
2,140,15950.592556141659,alpha,139,1
3,141,15489.496212745024,alpha,139,1
4,142,15050.608168704863,alpha,139,1
5,143,14633.181239229338,alpha,139,1
6,144,14235.725809610773,alpha,139,1
7,145,13856.999397734056,alpha,139,1
8,146,13495.868780067796,alpha,139,1
9,147,13151.311102616919,alpha,139,1
10,148,12822.399918327275,alpha,139,1
11,149,12508.294652830826,alpha,139,1
12,150,12208.231065553364,alpha,139,1
13,151,11921.512837591183,alpha,139,1
14,152,11647.504125391679,alpha,139,1
15,153,11385.622971661665,alpha,139,1
16,154,11135.335473476242,alpha,139,1
17,155,10896.150619698776,alpha,139,1
18,156,10667.61571999049,alpha,139,1
19,157,10449.312356739883,alpha,139,1
20,158,10240.85279923199,alpha,139,1
21,159,10041.876826438105,alpha,139,1
1,139,16786.000722890614,alpha,139,2
2,140,16464.355014067856,alpha,139,2
3,141,16081.956719502736,alpha,139,2
